Date,Label,Orientation,Bud type,Diameter,centrale_present
2024-04-24,28,west,apical annual,6.7,x
2024-04-24,28,west,apical annual,9.1,x
2024-04-24,28,west,apical annual,7.8,x
2024-04-24,29,west,lateral annual,5.9,x
2024-04-24,29,west,lateral annual,4.3,x
2024-04-24,29,west,lateral annual,5.5,x
2024-04-24,29,west,lateral annual,4.3,x
2024-04-24,29,west,lateral annual,4.6,x
2024-04-24,30,west,pluriennial,9.1,x
2024-04-24,30,west,pluriennial,8.9,x
2024-04-24,30,west,pluriennial,8.1,x
2024-04-24,30,west,pluriennial,8.7,x
2024-04-24,30,west,pluriennial,7.9,x
2024-04-24,30,west,pluriennial,7.2,x
2024-04-29,1,east,apical annual,10.7,x
2024-04-29,1,east,apical annual,10.9,x
2024-04-29,1,east,apical annual,12.2,x
2024-04-29,1,east,apical annual,10.7,x
2024-04-29,1,east,apical annual,12.1,x
2024-04-29,1,east,apical annual,12.2,x
2024-04-29,2,east,lateral annual,6.5,x
2024-04-29,2,east,lateral annual,5.7,x
2024-04-29,2,east,lateral annual,5.2,x
2024-04-29,2,east,lateral annual,4.5,x
2024-04-29,2,east,lateral annual,5.4,x
2024-04-29,3,east,pluriennial,16.7,x
2024-04-29,3,east,pluriennial,12.2,x
2024-04-29,3,east,pluriennial,15.7,x
2024-04-29,3,east,pluriennial,11.3,x
2024-04-29,4,east,apical annual,9.6,
2024-04-29,4,east,apical annual,7.3,
2024-04-29,4,east,apical annual,8.9,
2024-04-29,5,east,lateral annual,9.7,x
2024-04-29,5,east,lateral annual,9.2,x
2024-04-29,5,east,lateral annual,8.4,x
2024-04-29,5,east,lateral annual,7.5,x
2024-04-29,5,east,lateral annual,7.6,x
2024-04-29,6,east,pluriennial,13,x
2024-04-29,6,east,pluriennial,9.4,x
2024-04-29,6,east,pluriennial,10.7,x
2024-04-29,6,east,pluriennial,11.2,x
2024-04-29,6,east,pluriennial,11.6,x
2024-04-29,7,east,apical annual,12.1,x
2024-04-29,7,east,apical annual,11.6,x
2024-04-29,7,east,apical annual,11.8,x
2024-04-29,7,east,apical annual,12.3,x
2024-04-29,7,east,apical annual,11,x
2024-04-29,7,east,apical annual,11.2,x
2024-04-29,8,east,lateral annual,8.6,x
2024-04-29,8,east,lateral annual,3.9,x
2024-04-29,8,east,lateral annual,7.7,x
2024-04-29,8,east,lateral annual,5.2,x
2024-04-29,8,east,lateral annual,7.6,x
2024-04-29,8,east,lateral annual,3.3,x
